Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Budowlana,Premium ($$$),13 km,2026-03-02,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),18 km,2026-03-05,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),26 km,2026-02-21,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),29 km,2026-02-15,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),6 km,2026-01-29,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),20 km,2026-02-20,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),20 km,2026-02-03,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),2 km,2026-01-26,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),26 km,2026-02-06,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),13 km,2026-02-14,Koszenie i aeracja trawnika,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),25 km,2026-03-02,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),30 km,2026-02-12,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),15 km,2026-01-27,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),17 km,2026-01-25,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),28 km,2026-02-17,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),16 km,2026-01-21,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Premium ($$$),3 km,2026-01-14,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),19 km,2026-01-15,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),30 km,2026-01-28,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),28 km,2026-02-07,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),14 km,2026-02-07,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),6 km,2026-02-04,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),11 km,2026-02-22,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),20 km,2026-02-11,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),3 km,2026-01-14,Wymiana licznika wody,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),30 km,2026-03-05,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),12 km,2026-03-02,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),16 km,2026-01-26,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),22 km,2026-03-06,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),15 km,2026-01-11,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),1 km,2026-02-10,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),24 km,2026-01-27,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),8 km,2026-03-03,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),5 km,2026-02-28,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),11 km,2026-01-12,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),15 km,2026-02-11,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),18 km,2026-02-02,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),24 km,2026-01-15,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),7 km,2026-03-10,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),27 km,2026-02-14,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),26 km,2026-02-05,Grabienie liści,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),7 km,2026-02-03,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),18 km,2026-02-06,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),5 km,2026-03-05,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),6 km,2026-03-07,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Budget ($),17 km,2026-02-18,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),5 km,2026-01-23,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),14 km,2026-02-19,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),12 km,2026-01-22,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),20 km,2026-02-02,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),16 km,2026-01-22,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),1 km,2026-01-31,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),30 km,2026-02-19,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),24 km,2026-02-24,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),1 km,2026-02-05,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),14 km,2026-02-23,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),15 km,2026-02-22,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),3 km,2026-02-16,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),29 km,2026-03-01,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),13 km,2026-01-13,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),4 km,2026-02-15,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),4 km,2026-01-11,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),15 km,2026-02-04,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),12 km,2026-02-13,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),30 km,2026-03-11,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),12 km,2026-02-20,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Standard ($$),27 km,2026-02-14,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),23 km,2026-01-31,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Standard ($$),23 km,2026-02-26,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),15 km,2026-01-20,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),11 km,2026-02-23,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),26 km,2026-03-02,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Budget ($),17 km,2026-02-19,Usunięcie kamienia nazębnego (skaling),https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),4 km,2026-02-10,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),8 km,2026-02-11,Nasadzenia drzewek owocowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),3 km,2026-02-03,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),10 km,2026-01-24,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),2 km,2026-01-27,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),29 km,2026-02-05,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),27 km,2026-02-09,Koszenie i aeracja trawnika,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),21 km,2026-01-16,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),13 km,2026-02-26,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),24 km,2026-02-22,Flowerbox na urodziny,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),22 km,2026-03-01,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),22 km,2026-02-17,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Budget ($),20 km,2026-01-11,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),30 km,2026-03-08,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),26 km,2026-03-07,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),4 km,2026-02-01,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),10 km,2026-03-08,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),10 km,2026-02-01,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),9 km,2026-02-09,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),20 km,2026-01-27,Sezonowa wymiana opon,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),4 km,2026-02-08,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),21 km,2026-02-28,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),12 km,2026-01-31,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),9 km,2026-01-22,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),27 km,2026-01-28,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),4 km,2026-02-17,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),15 km,2026-01-23,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),7 km,2026-03-04,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),6 km,2026-01-25,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),1 km,2026-02-24,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),30 km,2026-01-30,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),16 km,2026-01-24,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),8 km,2026-02-04,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),16 km,2026-03-04,Montaż systemu nawadniania,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),9 km,2026-03-05,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),8 km,2026-03-02,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),2 km,2026-02-10,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-01-11,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),16 km,2026-03-11,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),2 km,2026-01-25,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),28 km,2026-01-23,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),16 km,2026-01-20,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),26 km,2026-02-17,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),5 km,2026-01-12,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),18 km,2026-03-04,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),28 km,2026-02-12,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),21 km,2026-01-17,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),15 km,2026-01-16,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Budget ($),8 km,2026-02-09,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),29 km,2026-02-14,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),4 km,2026-02-02,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),25 km,2026-02-12,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),5 km,2026-01-22,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),30 km,2026-02-07,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),12 km,2026-03-04,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-03-11,Grabienie liści,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),21 km,2026-02-05,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),19 km,2026-01-24,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),26 km,2026-02-18,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),12 km,2026-01-26,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),23 km,2026-02-04,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Premium ($$$),18 km,2026-02-25,Montaż systemu nawadniania,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),28 km,2026-01-30,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),1 km,2026-03-11,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),24 km,2026-02-26,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),27 km,2026-01-30,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),5 km,2026-03-06,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),11 km,2026-01-26,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),23 km,2026-03-11,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),3 km,2026-02-17,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),12 km,2026-03-02,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Standard ($$),1 km,2026-03-03,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),26 km,2026-02-23,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Budget ($),30 km,2026-02-22,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Budget ($),19 km,2026-02-09,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),16 km,2026-01-29,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),2 km,2026-02-20,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),26 km,2026-01-18,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),26 km,2026-02-27,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Standard ($$),20 km,2026-02-16,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),17 km,2026-03-04,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),30 km,2026-02-14,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Standard ($$),29 km,2026-02-06,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
